ElectricityUsage,SystemSize,SystemType,SolarPanel,Inverter,Battery ,NoOfBatteries ,InvetrerCost,NoOfInveters ,NoOfPanels,Tags,SolarSystem
481-600,5kW,Off Grid,Panasonic Japan,Goodwee China,Lead Acid,3,380000,1,5,481-600 Off Grid Panasonic Japan Goodwee China Lead Acid,5kW Off Grid | 5 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1050000
601-900,7.5kW,Off Grid,Panasonic Japan,Goodwee China,Lead Acid,4,490000,1,7,601-900 Off Grid Panasonic Japan Goodwee China Lead Acid,7.5kW Off Grid | 7 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1404000
901-960,8kW,Off Grid,Panasonic Japan,Goodwee China,Lead Acid,4,500000,1,8,901-960 Off Grid Panasonic Japan Goodwee China Lead Acid,8kW Off Grid | 8 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1476000
961-1200,10kW,Off Grid,Panasonic Japan,Goodwee China,Lead Acid,5,580000,1,10,961-1200 Off Grid Panasonic Japan Goodwee China Lead Acid,10kW Off Grid | 10 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1800000
0-120,1kW,Off Grid,Panasonic Japan,SMA Germany ,Lead Acid,1,84000,1,1,0-120 Off Grid Panasonic Japan SMA Germany  Lead Acid,1kW Off Grid | 1 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 211000
121-240,2kW,Off Grid,Panasonic Japan,SMA Germany ,Lead Acid,1,120000,1,2,121-240 Off Grid Panasonic Japan SMA Germany  Lead Acid,2kW Off Grid | 2 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 364000
241-420,3.5kW,Off Grid,Panasonic Japan,SMA Germany ,Lead Acid,2,240000,1,4,241-420 Off Grid Panasonic Japan SMA Germany  Lead Acid,3.5kW Off Grid | 4 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 728000
421-480,4kW,Off Grid,Panasonic Japan,SMA Germany ,Lead Acid,2,320000,1,4,421-480 Off Grid Panasonic Japan SMA Germany  Lead Acid,4kW Off Grid | 4 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 808000
481-600,5kW,Off Grid,Panasonic Japan,SMA Germany ,Lead Acid,3,440000,1,5,481-600 Off Grid Panasonic Japan SMA Germany  Lead Acid,5kW Off Grid | 5 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1110000
601-900,7.5kW,Off Grid,Panasonic Japan,SMA Germany ,Lead Acid,4,520000,1,7,601-900 Off Grid Panasonic Japan SMA Germany  Lead Acid,7.5kW Off Grid | 7 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1434000
901-960,8kW,Off Grid,Panasonic Japan,SMA Germany ,Lead Acid,4,610000,1,8,901-960 Off Grid Panasonic Japan SMA Germany  Lead Acid,8kW Off Grid | 8 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1586000
961-1200,10kW,Off Grid,Panasonic Japan,SMA Germany ,Lead Acid,5,710000,1,10,961-1200 Off Grid Panasonic Japan SMA Germany  Lead Acid,10kW Off Grid | 10 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1930000
0-120,1kW,Off Grid,Panasonic Japan,CanadainSolar Canada,Lead Acid,1,88000,1,1,0-120 Off Grid Panasonic Japan CanadainSolar Canada Lead Acid,1kW Off Grid | 1 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 215000
121-240,2kW,Off Grid,Panasonic Japan,CanadainSolar Canada,Lead Acid,1,120000,1,2,121-240 Off Grid Panasonic Japan CanadainSolar Canada Lead Acid,2kW Off Grid | 2 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 364000
241-420,3.5kW,Off Grid,Panasonic Japan,CanadainSolar Canada,Lead Acid,2,210000,1,4,241-420 Off Grid Panasonic Japan CanadainSolar Canada Lead Acid,3.5kW Off Grid | 4 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 698000
421-480,4kW,Off Grid,Panasonic Japan,CanadainSolar Canada,Lead Acid,2,290000,1,4,421-480 Off Grid Panasonic Japan CanadainSolar Canada Lead Acid,4kW Off Grid | 4 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 778000
481-600,5kW,Off Grid,Panasonic Japan,CanadainSolar Canada,Lead Acid,3,390000,1,5,481-600 Off Grid Panasonic Japan CanadainSolar Canada Lead Acid,5kW Off Grid | 5 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1060000
601-900,7.5kW,Off Grid,Panasonic Japan,CanadainSolar Canada,Lead Acid,4,500000,1,7,601-900 Off Grid Panasonic Japan CanadainSolar Canada Lead Acid,7.5kW Off Grid | 7 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1414000
901-960,8kW,Off Grid,Panasonic Japan,CanadainSolar Canada,Lead Acid,4,610000,1,8,901-960 Off Grid Panasonic Japan CanadainSolar Canada Lead Acid,8kW Off Grid | 8 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1586000
961-1200,10kW,Off Grid,Panasonic Japan,CanadainSolar Canada,Lead Acid,5,710000,1,10,961-1200 Off Grid Panasonic Japan CanadainSolar Canada Lead Acid,10kW Off Grid | 10 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1930000
0-120,1kW,Off Grid,Panasonic Japan,Growatt China,Lead Acid,1,66000,1,1,0-120 Off Grid Panasonic Japan Growatt China Lead Acid,1kW Off Grid | 1 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 193000
121-240,2kW,Off Grid,Panasonic Japan,Growatt China,Lead Acid,1,95000,1,2,121-240 Off Grid Panasonic Japan Growatt China Lead Acid,2kW Off Grid | 2 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 339000
241-420,3.5kW,Off Grid,Panasonic Japan,Growatt China,Lead Acid,2,198000,1,4,241-420 Off Grid Panasonic Japan Growatt China Lead Acid,3.5kW Off Grid | 4 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 686000
421-480,4kW,Off Grid,Panasonic Japan,Growatt China,Lead Acid,2,310000,1,4,421-480 Off Grid Panasonic Japan Growatt China Lead Acid,4kW Off Grid | 4 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 798000
481-600,5kW,Off Grid,Panasonic Japan,Growatt China,Lead Acid,3,390000,1,5,481-600 Off Grid Panasonic Japan Growatt China Lead Acid,5kW Off Grid | 5 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1060000
601-900,7.5kW,Off Grid,Panasonic Japan,Growatt China,Lead Acid,4,490000,1,7,601-900 Off Grid Panasonic Japan Growatt China Lead Acid,7.5kW Off Grid | 7 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1404000
901-960,8kW,Off Grid,Panasonic Japan,Growatt China,Lead Acid,4,520000,1,8,901-960 Off Grid Panasonic Japan Growatt China Lead Acid,8kW Off Grid | 8 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1496000
961-1200,10kW,Off Grid,Panasonic Japan,Growatt China,Lead Acid,5,580000,1,10,961-1200 Off Grid Panasonic Japan Growatt China Lead Acid,10kW Off Grid | 10 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1800000
0-120,1kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,1,111000,1,1,0-120 Hybrid JA Solar China Goodwee China LFP Lithium-ion,1kW Hybrid | 1 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 233000
121-240,2kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,1,165000,1,2,121-240 Hybrid JA Solar China Goodwee China LFP Lithium-ion,2kW Hybrid | 2 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 419000
241-420,3.5kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,1,315000,1,4,241-420 Hybrid JA Solar China Goodwee China LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 733000
421-480,4kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,1,450000,1,4,421-480 Hybrid JA Solar China Goodwee China LFP Lithium-ion,4kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1028000
481-600,5kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,1,615000,1,5,481-600 Hybrid JA Solar China Goodwee China LFP Lithium-ion,5kW Hybrid | 5 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1235000
601-900,7.5kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,1,780000,1,7,601-900 Hybrid JA Solar China Goodwee China LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1964000
901-960,8kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,1,840000,1,8,901-960 Hybrid JA Solar China Goodwee China LFP Lithium-ion,8kW Hybrid | 8 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 2066000
961-1200,10kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,1,930000,1,10,961-1200 Hybrid JA Solar China Goodwee China LFP Lithium-ion,10kW Hybrid | 10 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 2240000
1201-1800,15kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,2,780000,2,15,1201-1800 Hybrid JA Solar China Goodwee China LFP Lithium-ion,15kW Hybrid | 15 solar panel- JA Solar China | 2 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 3970000
1801-2400,20kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,2,930000,2,20,1801-2400 Hybrid JA Solar China Goodwee China LFP Lithium-ion,20kW Hybrid | 20 solar panel- JA Solar China | 2 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 4480000
2401-3600,30kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,3,930000,3,30,2401-3600 Hybrid JA Solar China Goodwee China LFP Lithium-ion,30kW Hybrid | 30 solar panel- JA Solar China | 3 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 6720000
3601-4800,40kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,4,930000,4,40,3601-4800 Hybrid JA Solar China Goodwee China LFP Lithium-ion,40kW Hybrid | 40 solar panel- JA Solar China | 4 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 8960000
4801-6000,50kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,5,930000,5,50,4801-6000 Hybrid JA Solar China Goodwee China LFP Lithium-ion,50kW Hybrid | 50 solar panel- JA Solar China | 5 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 11200000
6001-7200,60kW,Hybrid,JA Solar China,Goodwee China,LFP Lithium-ion,6,930000,6,60,6001-7200 Hybrid JA Solar China Goodwee China LFP Lithium-ion,60kW Hybrid | 60 solar panel- JA Solar China | 6 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 13440000
0-120,1kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,1,141000,1,1,0-120 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,1kW Hybrid | 1 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 263000
121-240,2kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,1,210000,1,2,121-240 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,2kW Hybrid | 2 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 464000
241-420,3.5kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,1,390000,1,4,241-420 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 808000
421-480,4kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,1,555000,1,4,421-480 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,4kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 1133000
481-600,5kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,1,735000,1,5,481-600 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,5kW Hybrid | 5 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 1355000
601-900,7.5kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,1,870000,1,7,601-900 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 2054000
901-960,8kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,1,975000,1,8,901-960 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,8kW Hybrid | 8 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 2201000
961-1200,10kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,1,1170000,1,10,961-1200 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,10kW Hybrid | 10 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 2480000
1201-1800,15kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,2,870000,2,15,1201-1800 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,15kW Hybrid | 15 solar panel- JA Solar China | 2 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 4150000
1801-2400,20kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,2,1170000,2,20,1801-2400 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,20kW Hybrid | 20 solar panel- JA Solar China | 2 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 4960000
2401-3600,30kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,3,1170000,3,30,2401-3600 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,30kW Hybrid | 30 solar panel- JA Solar China | 3 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 7440000
3601-4800,40kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,4,1170000,4,40,3601-4800 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,40kW Hybrid | 40 solar panel- JA Solar China | 4 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 9920000
4801-6000,50kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,5,1170000,5,50,4801-6000 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,50kW Hybrid | 50 solar panel- JA Solar China | 5 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 12400000
6001-7200,60kW,Hybrid,JA Solar China,SMA Germany ,LFP Lithium-ion,6,1170000,6,60,6001-7200 Hybrid JA Solar China SMA Germany  LFP Lithium-ion,60kW Hybrid | 60 solar panel- JA Solar China | 6 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 14880000
0-120,1kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,136500,1,1,0-120 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,1kW Hybrid | 1 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 258500
121-240,2kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,195000,1,2,121-240 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,2kW Hybrid | 2 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 449000
241-420,3.5kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,330000,1,4,241-420 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 748000
421-480,4kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,465000,1,4,421-480 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,4kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 1043000
481-600,5kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,615000,1,5,481-600 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,5kW Hybrid | 5 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 1235000
601-900,7.5kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,810000,1,7,601-900 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 1994000
901-960,8kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,960000,1,8,901-960 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,8kW Hybrid | 8 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 2186000
961-1200,10kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,1,1140000,1,10,961-1200 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,10kW Hybrid | 10 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 2450000
1201-1800,15kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,2,810000,2,15,1201-1800 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,15kW Hybrid | 15 solar panel- JA Solar China | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 4030000
1801-2400,20kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,2,1140000,2,20,1801-2400 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,20kW Hybrid | 20 solar panel- JA Solar China | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 4900000
2401-3600,30kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,3,1140000,3,30,2401-3600 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,30kW Hybrid | 30 solar panel- JA Solar China | 3 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 7350000
3601-4800,40kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,4,1140000,4,40,3601-4800 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,40kW Hybrid | 40 solar panel- JA Solar China | 4 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 9800000
4801-6000,50kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,5,1140000,5,50,4801-6000 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,50kW Hybrid | 50 solar panel- JA Solar China | 5 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 12250000
6001-7200,60kW,Hybrid,JA Solar China,CanadainSolar Canada,LFP Lithium-ion,6,1140000,6,60,6001-7200 Hybrid JA Solar China CanadainSolar Canada LFP Lithium-ion,60kW Hybrid | 60 solar panel- JA Solar China | 6 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 14700000
0-120,1kW,Hybrid,JA Solar China,Growatt China,LFP Lithium-ion,1,109500,1,1,0-120 Hybrid JA Solar China Growatt China LFP Lithium-ion,1kW Hybrid | 1 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 231500
121-240,2kW,Hybrid,JA Solar China,Growatt China,LFP Lithium-ion,1,157500,1,2,121-240 Hybrid JA Solar China Growatt China LFP Lithium-ion,2kW Hybrid | 2 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 411500
